t,KE
0, 95.2267785505362
5, 95.16989766136743
10, 95.34341409031848
15, 95.75357423965711
20, 96.39065526124999
25, 97.2326652473694
30, 98.21648262173291
35, 99.1779276475101
40, 99.86100590856144
45, 100.22662314027517
50, 101.06110502318656
55, 103.26356940438505
60, 106.19275503953462
65, 108.70316937593415
70, 110.13341258686367
75, 109.78610800605708
80, 107.93964537929287
85, 108.84623039770165
90, 111.29434594596756
95, 110.96920396817237
100, 113.13897322833482
105, 114.50650184524132
110, 114.5786892110696
115, 117.08982592982962
120, 118.80872842393507
125, 119.12472850960192
130, 118.43599972149161
135, 117.23813578437733
140, 117.14886531886367
145, 117.18715496431125
150, 114.15134035252792
155, 114.40849313063161
160, 116.55129896888515
165, 117.54757848432702
170, 118.70944646651749
175, 118.10088971317806
180, 117.41154954783279
185, 117.23033681794548
190, 117.27165727901915
195, 117.01253515721228
200, 116.11725120702441
205, 115.14143359059716
210, 113.66697771893456
215, 114.48288922961602
220, 117.34087938787383
225, 118.14030816841237
230, 116.20222238693825
235, 113.49288628746542
240, 112.23011465836925
245, 113.66375996154805
250, 114.1109090228603
255, 113.63931590055262
260, 113.14381696920358
265, 108.57162522191365
270, 106.0637327083434
275, 110.04700780028502
280, 114.25625516602805
285, 116.36545604390385
290, 116.76883724708206
295, 114.92104153383451
300, 111.17549903259406
305, 109.83325128927318
310, 108.97248499440926
315, 110.19010388788635
320, 111.053436168095
325, 112.42019699483443
330, 114.76399666734515
335, 116.62370402163481
340, 116.18219191165413
345, 113.54236650862899
350, 114.76736227369322
355, 115.40398313281392
360, 115.18280661249254
365, 115.994355977284
370, 116.50224809016014
375, 117.40516070771906
380, 118.7800259618751
385, 118.91921237025136
390, 118.83320621859859
395, 119.17691155675227
400, 118.15696223029003
405, 115.20378665440015
410, 114.31326776591276
415, 116.79313034276184
420, 118.3086119736422
425, 117.62598347039471
430, 118.50645900512187
435, 121.29156707389723
440, 121.91422565660321
445, 117.60933751012244
450, 115.88021830462498
455, 113.65732233737282
460, 113.0596893458441
465, 116.08071518899393
470, 118.32762924180295
475, 121.63686485465216
480, 123.02730780499941
